first,last,name,id
0xE000,0xF8FF,Private Use Area,private_use_area
0xF900,0xFAFF,CJK Compatibility Ideographs,cjk_compatibility_ideographs
0xFB00,0xFB4F,Alphabetic Presentation Forms,alphabetic_presentation_forms
0xFB50,0xFDFF,Arabic Presentation Forms-A,arabic_presentation_forms_a
0xFE00,0xFE0F,Variation Selectors,variation_selectors
0xFE10,0xFE1F,Vertical Forms,vertical_forms
0xFE20,0xFE2F,Combining Half Marks,combining_half_marks
0xFE30,0xFE4F,CJK Compatibility Forms,cjk_compatibility_forms
0xFE50,0xFE6F,Small Form Variants,small_form_variants
0xFE70,0xFEFF,Arabic Presentation Forms-B,arabic_presentation_forms_b
0xFF00,0xFFEF,Halfwidth and Fullwidth Forms,halfwidth_and_fullwidth_forms
0xFFF0,0xFFFF,Specials,specials
